element_id,wavelength(nm),intensity,note,
H,656.28,1.0000,,
H,486.13,0.3600,,
H,434.05,0.1800,,
H,410.17,0.1400,,
H,397.01,0.0600,,
H,388.91,0.1400,,
H,383.54,0.0600,,
He,587.56,1.0000,,
He,706.52,0.4000,,
He,501.57,0.2000,,
He,492.19,0.0400,,
He,471.31,0.0600,,
He,447.15,0.4000,,
He,402.62,0.1000,,
He,396.47,0.0400,,
He,387.18,1.0000,,
Li,670.79,1.0000,,
Li,670.78,1.0000,,
Li,610.37,0.0900,,
Li,610.35,0.0900,,
Li,497.17,0.0050,,
Li,460.29,0.0080,,
Li,427.31,0.0120,,
Li,413.26,0.0230,,
Li,391.53,0.0200,,
Ne,350.12159,0.02,,
Ne,351.51902,0.02,,
Ne,352.04711,0.1,,
Ne,359.35257,0.05,,
Ne,359.36389,0.03,,
Ne,360.01685,0.01,,
Ne,363.3664,0.01,,
Ne,368.22421,0.01,,
Ne,368.57352,0.01,,
Ne,370.12244,0.004,,
Ne,453.77545,0.1,,
Ne,470.43949,0.15,,
Ne,470.88594,0.12,,
Ne,471.0065,0.1,,
Ne,471.20633,0.15,,
Ne,471.5344,0.15,,
Ne,475.2732,0.05,,
Ne,478.89258,0.1,,
Ne,479.02195,0.05,,
Ne,482.7338,0.1,,
Ne,488.4917,0.1,,
Ne,500.51587,0.05,,
Ne,503.77512,0.05,,
Ne,514.49384,0.05,,
Ne,533.07775,0.06,,
Ne,534.10938,0.1,,
Ne,534.32834,0.06,,
Ne,540.05618,0.2,,
Ne,556.27662,0.05,,
Ne,565.66588,0.05,,
Ne,571.92248,0.05,,
Ne,574.82985,0.05,,
Ne,576.44188,0.07,,
Ne,580.44496,0.05,,
Ne,582.01558,0.05,,
Ne,585.24879,0.2,,
Ne,587.28275,0.05,,
Ne,588.18952,0.1,,
Ne,590.24623,0.005,,
Ne,590.64294,0.005,,
Ne,594.48342,0.05,,
Ne,596.5471,0.05,,
Ne,597.46273,0.05,,
Ne,597.5534,0.06,,
Ne,598.79074,0.015,,
Ne,602.99969,0.1,,
Ne,607.43377,0.1,,
Ne,609.61631,0.03,,
Ne,612.84499,0.01,,
Ne,614.30626,0.1,,
Ne,616.35939,0.1,,
Ne,618.2146,0.015,,
Ne,621.72812,0.1,,
Ne,626.6495,0.1,,
Ne,630.47889,0.01,,
Ne,632.81646,0.03,,
Ne,633.44278,0.1,,
Ne,638.29917,0.1,,
Ne,640.2248,0.2,,
Ne,650.65281,0.15,,
Ne,653.28822,0.01,,
Ne,659.89529,0.1,,
Ne,665.20927,0.015,,
Ne,667.82762,0.05,,
Ne,671.7043,0.007,,
Ne,692.94673,1,,
Ne,702.40504,0.3,,
Ne,703.24131,0.8,,
Ne,705.12923,0.02,,
Ne,705.91074,0.1,,
Ne,717.39381,0.8,,
Ne,724.51666,0.8,,
Ne,747.24386,0.03,,
Ne,748.88712,0.3,,
Ne,753.57741,0.3,,
Ne,754.40443,0.13,,
Ne,772.46233,0.001,,
Na,589.59,0.5000,,
Na,589.00,1.0000,,
Na,562.10,0.0005,,
Na,516.25,0.0010,,Ca
Na,507.12,0.0034,,Hg
Na,443.23,0.0040,,Fe
Na,428.67,0.0005,,
Na,420.49,0.0006,,
Na,418.55,0.0020,,
Na,417.67,0.0010,,
Na,392.56,0.0010,,
Na,391.79,0.0020,,
Na,388.18,0.0052,,
Na,386.55,0.0016,,
K,404.41,0.7000,,
K,404.72,0.7000,,
K,464.19,0.4000,,
K,464.24,0.4000,,
K,474.09,0.1500,,
K,474.44,0.2500,,
K,475.39,0.2000,,
K,475.74,0.3000,,
K,478.65,0.2000,,
K,479.11,0.3000,,
K,479.98,0.2500,,
K,480.44,0.3000,,
K,484.99,0.3000,,
K,485.61,0.3000,,
K,486.35,0.3000,,
K,486.98,0.4000,,
K,494.20,0.3000,,
K,495.08,0.4000,,
K,495.62,0.4000,,
K,496.50,0.4000,,
K,508.42,0.4000,,
K,509.72,0.4000,,
K,509.92,0.4000,,
K,511.23,0.5000,,
K,532.33,0.5000,,
K,533.97,0.5000,,
K,534.30,0.5000,,
K,535.96,0.6000,,
K,578.24,0.6000,,
K,580.18,0.7000,,
K,581.22,0.6000,,
K,583.19,0.7000,,
K,691.11,0.8000,,
K,693.63,0.5000,,
K,693.88,0.8000,,
K,696.42,0.3000,,
K,696.47,0.5000,,
K,766.49,1.0000,,
K,769.90,1.0000,,
Ca,422.67,1.0000,,
Ca,430.25,0.5000,,
Ca,430.77,0.5000,,
Ca,442.54,0.5000,,
Ca,443.50,0.5000,,
Ca,443.57,0.5000,,
Ca,445.48,0.6000,,
Ca,445.59,0.6000,,
Ca,445.66,0.4000,,
Ca,487.81,0.5000,,
Ca,518.88,0.5000,,
Ca,526.56,0.5000,,
Ca,527.03,0.5000,,
Ca,534.95,0.5000,,
Ca,558.20,0.5000,,
Ca,558.88,0.5000,,
Ca,559.01,0.5000,,
Ca,559.45,0.5000,,
Ca,559.85,0.5000,,
Ca,585.75,0.6000,,
Ca,610.27,0.5000,,
Ca,612.22,0.6000,,
Ca,616.22,0.6000,,
Ca,616.91,0.5000,,
Ca,616.96,0.6000,,
Ca,643.91,0.7000,,
Ca,644.98,0.6000,,
Ca,646.26,0.7000,,
Ca,647.17,0.6000,,
Ca,649.38,0.6000,,
Ca,649.96,0.6000,,
Ca,657.28,0.5000,,
Ca,671.77,0.6000,,
Ca,714.81,0.7000,,
Ca,720.22,0.6000,,
Ca,732.61,0.7000,,
Hg,365.02,0.6000,,
Hg,365.48,0.0700,,
Hg,366.33,0.0500,,
Hg,404.66,0.4000,,
Hg,433.92,0.0600,,
Hg,434.75,0.1000,,
Hg,435.83,1.0000,,
Hg,546.07,0.5000,,
Hg,576.96,0.0500,,
Hg,579.07,0.0600,,
Hg,708.19,0.0250,,
Fe,352.13,0.0430,,
Fe,352.60,0.0570,,
Fe,354.11,0.0430,,
Fe,355.49,0.0570,,
Fe,355.85,0.0570,,
Fe,356.54,0.1430,,
Fe,357.01,0.1710,,
Fe,357.03,0.1140,,
Fe,358.12,0.8570,,
Fe,358.53,0.0430,,
Fe,358.70,0.0570,,
Fe,360.67,0.0710,,
Fe,360.89,0.2140,,
Fe,361.88,0.2140,,
Fe,363.15,0.1710,,
Fe,364.78,0.2140,,
Fe,367.99,0.2140,,
Fe,368.75,0.0710,,
Fe,370.56,0.1710,,
Fe,370.79,0.0430,,
Fe,370.92,0.0860,,
Fe,371.99,0.8570,,
Fe,372.26,0.2140,,
Fe,372.76,0.0710,,
Fe,373.33,0.1710,,
Fe,373.49,1.0000,,
Fe,373.71,0.8570,,
Fe,374.34,0.0570,,
Fe,374.56,0.8570,,
Fe,374.59,0.1710,,
Fe,374.83,0.4290,,
Fe,374.95,0.5710,,
Fe,375.82,0.4290,,
Fe,376.00,0.0570,,
Fe,376.38,0.2140,,
Fe,376.55,0.0570,,
Fe,376.72,0.0860,,
Fe,379.50,0.0570,,
Fe,379.95,0.0570,,
Fe,381.30,0.0860,,
Fe,381.58,0.2140,,
Fe,382.04,0.7140,,
Fe,382.44,0.3570,,
Fe,382.59,0.2140,,
Fe,382.78,0.1710,,
Fe,383.42,0.1430,,
Fe,384.04,0.0710,,
Fe,384.10,0.1140,,
Fe,385.64,0.3570,,
Fe,385.99,0.7140,,
Fe,387.86,0.2140,,
Fe,388.63,0.4290,,
